City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ndibene dahra,15.3338,-15.4766,21.81,10,0,4.79,SN,1738792499
1,valparaiso,-33.0393,-71.6273,28.13,37,0,10.8,CL,1738792502
2,corner brook,48.9667,-57.9484,-13.2,90,100,5.16,CA,1738792503
3,constitucion,-35.3333,-72.4167,20.55,54,11,7.17,CL,1738792504
4,lebu,-37.6167,-73.65,18.46,81,1,4.78,CL,1738792505
5,grytviken,-54.2811,-36.5092,1.62,95,98,5.64,GS,1738792440
6,blackmans bay,-43.0167,147.3167,15.41,73,62,0.45,AU,1738792507
7,weno,7.4515,151.8468,27.97,83,100,4.63,FM,1738792509
8,plymouth,41.8334,-70.8328,-1.08,37,0,4.63,US,1738792510
9,bandarbeyla,9.4942,50.8122,22.66,77,38,6.55,SO,1738792511
10,charlottetown,46.2352,-63.1267,-13.75,59,40,6.71,CA,1738792512
11,adamstown,-25.066,-130.1015,25.29,78,4,6.37,PN,1738792438
12,sale,34.0389,-6.8166,9.38,81,0,0.0,MA,1738792514
13,belyy yar,53.6039,91.3903,-13.06,92,92,0.0,RU,1738792515
14,teknaf,20.8624,92.3058,18.75,59,4,4.09,BD,1738792517
15,byron bay,-28.65,153.6167,24.12,79,32,1.17,AU,1738792518
16,udachny,66.4167,112.4,-23.2,99,100,1.81,RU,1738792446
17,hawaiian paradise park,19.5933,-154.9731,24.93,74,75,4.12,US,1738792520
18,afaahiti,-17.75,-149.2833,26.04,80,88,6.29,PF,1738791970
19,harper,4.375,-7.7169,26.92,84,16,3.6,LR,1738792523
20,jamestown,42.097,-79.2353,-4.13,62,0,2.57,US,1738792524
21,puerto natales,-51.7236,-72.4875,14.25,47,75,2.06,CL,1738792443
22,ayabaca,-4.6398,-79.7149,11.92,88,95,1.82,PE,1738792526
23,kristiansund,63.1115,7.732,5.36,70,40,5.14,NO,1738792527
24,sligo,54.2697,-8.4694,3.26,92,2,3.5,IE,1738792528
25,mossel bay,-34.1831,22.146,19.04,63,100,2.72,ZA,1738792530
26,fort st. john,56.2499,-120.8529,-25.06,77,75,2.06,CA,1738792412
27,arica,-18.475,-70.3042,24.13,64,0,5.14,CL,1738792532
28,antsiranana,-12.2787,49.2917,24.8,87,100,2.63,MG,1738792533
29,markovo,57.3206,107.0881,-40.48,100,95,1.1,RU,1738792534
30,anjozorobe,-18.4,47.8667,18.15,97,100,2.15,MG,1738792536
31,haiku-pauwela,20.9219,-156.3051,23.47,78,40,9.39,US,1738792537
32,waitangi,-43.9535,-176.5597,14.9,83,92,2.68,NZ,1738792539
33,bethel,41.3712,-73.414,-0.71,44,93,1.34,US,1738792540
34,mount gambier,-37.8333,140.7667,17.03,81,11,2.68,AU,1738791979
35,tolanaro,-25.0319,46.9987,26.04,83,40,3.09,MG,1738792543
36,pitkyaranta,61.5734,31.4792,-3.31,96,100,6.67,RU,1738792544
37,wailua homesteads,22.0669,-159.378,23.96,72,20,4.63,US,1738792545
38,isafjordur,66.0755,-23.124,-0.05,87,71,11.96,IS,1738792546
39,hermanus,-34.4187,19.2345,15.45,57,100,4.99,ZA,1738791985
40,zaysan,47.4667,84.8667,-20.22,81,0,0.97,KZ,1738792549
41,road town,18.4167,-64.6167,27.02,69,20,5.14,VG,1738792550
42,cabedelo,-6.9811,-34.8339,24.37,85,100,6.39,BR,1738792551
43,kodiak,57.79,-152.4072,-1.27,86,0,0.0,US,1738792552
44,calama,-22.4667,-68.9333,25.27,19,0,13.38,CL,1738792553
45,santos dumont,-21.4567,-43.5525,19.85,93,44,1.81,BR,1738792555
46,port-aux-francais,-49.35,70.2167,7.32,95,99,9.41,TF,1738792444
47,carnarvon,-24.8667,113.6333,26.05,77,5,7.28,AU,1738792557
48,ilulissat,69.2167,-51.1,-23.99,58,75,4.12,GL,1738792558
49,hilo,19.7297,-155.09,24.49,77,75,4.12,US,1738791875
50,new norfolk,-42.7826,147.0587,16.07,59,44,0.87,AU,1738792560
51,santa terezinha,-29.9002,-50.0904,26.63,88,0,4.48,BR,1738792562
52,lorengau,-2.0226,147.2712,27.83,79,100,3.67,PG,1738792563
53,palangkaraya,-2.2,113.8333,22.96,98,81,0.73,ID,1738792564
54,atafu village,-8.5421,-172.5159,28.26,75,18,7.46,TK,1738792565
55,college,64.8569,-147.8028,-8.85,80,100,0.0,US,1738792566
56,batabano,22.7164,-82.2881,26.5,60,0,0.81,CU,1738792568
57,papatowai,-46.5619,169.4708,13.98,58,56,2.46,NZ,1738792569
58,luderitz,-26.6481,15.1594,20.06,69,92,11.22,NA,1738792570
